year_1;year_2;from;to;km2
1992;1996;UF;LF;2124
1996;1999;UF;LF;6597
1999;2003;UF;LF;6346
2003;2006;UF;LF;7036
2006;2010;UF;LF;4015
2010;2014;UF;LF;5738
1992;1996;UF;LBF;270
1996;1999;UF;LBF;460
1999;2003;UF;LBF;69
2003;2006;UF;LBF;154
2006;2010;UF;LBF;59
2010;2014;UF;LBF;19
1992;1996;LF;LBF;72.75
1996;1999;LF;LBF;153.75
1999;2003;LF;LBF;118
2003;2006;LF;LBF;359.75
2006;2010;LF;LBF;239.5
2010;2014;LF;LBF;136.5
1992;1996;UF;DEF;18316
1996;1999;UF;DEF;15675
1999;2003;UF;DEF;18630
2003;2006;UF;DEF;17821
2006;2010;UF;DEF;8015
2010;2014;UF;DEF;4124
2014;2018;UF;DEF;5965
1992;1996;LF;DEF;168
1996;1999;LF;DEF;352
1999;2003;LF;DEF;938
2003;2006;LF;DEF;1469
2006;2010;LF;DEF;607
2010;2014;LF;DEF;526
2014;2018;LF;DEF;624
1992;1996;LBF;DEF;35
1996;1999;LBF;DEF;338
1999;2003;LBF;DEF;189
2003;2006;LBF;DEF;59
2006;2010;LBF;DEF;77
2010;2014;LBF;DEF;46
2014;2018;LBF;DEF;21
